residence,own_land,rented_land,someone_elses_land,prof_tech,mgmt_admin,clerical,sales,services,industrial,total,number_of_women
Urban,1.8,0,2.9,9.4,0.8,8.9,43.2,15.1,17.8,100,3547
Rural,39,2.1,16.1,3.8,0.1,1,18.7,3,16.2,NA,10781
